City,State,Total Sales,Latitude,Longitude
santo antonio de padua,RJ,8715,-21.550228339820368,-42.193044092356295
batatais,SP,8700,-20.892935312354172,-47.58472428382266
valenca,RJ,8670,-22.245540072389158,-43.70676838645277
para de minas,MG,8659,-19.86081192243632,-44.6021210140804
palmas,TO,8615,-10.19605851247808,-48.32786293222738
ituiutaba,MG,8545,-18.976259051431395,-49.464627030517974
marechal candido rondon,PR,8544,-24.554779706474,-54.058913651473326
itapetininga,SP,8513,-23.587736479532197,-48.04712008531338
santiago,RS,8512,-29.18637919462509,-54.86745080825835
paracambi,RJ,8496,-22.616674007045216,-43.706674061865066
votuporanga,SP,8474,-20.41795005744577,-49.973042937177354
francisco beltrao,PR,8435,-26.077394961569123,-53.051771734497194
extrema,MG,8358,-22.855320706959553,-46.319349745855064
itarare,SP,8346,-24.111325622522493,-49.331311788121276
natal,RN,8320,-5.8215999776807426,-35.21413572912253
barra do garcas,MT,8225,-15.877711437579347,-52.275103906684215
garca,SP,8224,-22.21150427934486,-49.65889489492281
teresopolis,RJ,8222,-22.417529718944127,-42.96892153805567
bage,RS,8202,-31.32700376772779,-54.10466005273465
sao joao del rei,MG,8117,-21.128431434798994,-44.24543142052156
montenegro,RS,8058,-29.68823831797083,-51.468729729433406
rio bonito,RJ,8004,-22.71197228755435,-42.630201171688654
sao leopoldo,RS,7989,-29.767965017419442,-51.14412706671263
caceres,MT,7967,-16.064622918356516,-57.68725351550095
presidente venceslau,SP,7890,-21.87582975546374,-51.84463248384425
feira de santana,BA,7887,-12.251164116953788,-38.957633181290745
santa cruz do sul,RS,7821,-29.716988836630193,-52.429298232276984
lauro de freitas,BA,7815,-12.885574628202564,-38.31439897868007
nova lima,MG,7778,-20.002192709576825,-43.900685503188726
porto feliz,SP,7750,-23.21202230454593,-47.52178606177499
passos,MG,7583,-20.72236374149647,-46.60482658196588
votorantim,SP,7504,-23.550319629141594,-47.45233704528977
promissao,SP,7500,-21.54110375384404,-49.85705971240373
mage,RJ,7488,-22.642097755112268,-43.11631903473471
alem paraiba,MG,7479,-21.87256732082444,-42.6944600419463
caete,MG,7476,-19.885495972269524,-43.66515199790922
vitoria da conquista,BA,7410,-14.860762633092756,-40.83806111490515
ilha solteira,SP,7400,-20.428728716409076,-51.339955617934834
caieiras,SP,7373,-23.36247971220272,-46.73825096439249
cariacica,ES,7350,-20.33319191658646,-40.38317527678096
resende,RJ,7315,-22.47362477105277,-44.47449399897279
amparo,SP,7307,-22.709135062764343,-46.78843350127469
muriae,MG,7231,-21.130690232036223,-42.36963931967939
barra mansa,RJ,7215,-22.539649169986067,-44.17481109640661
monte mor,SP,7093,-22.944159568418794,-47.296034004068
pato branco,PR,7074,-26.22737737459451,-52.6736740089707
novo hamburgo,RS,7025,-29.688548154079655,-51.12448689923934
barra bonita,SP,7018,-22.485565532362415,-48.55973229905038
itapecerica da serra,SP,6937,-23.71379283946747,-46.84393089735272
caraguatatuba,SP,6932,-23.63023331650693,-45.41129022927045
foz do iguacu,PR,6930,-25.525566351184406,-54.566763150401066
tramandai,RS,6916,-30.005144370027573,-50.14903584543464
matao,SP,6887,-21.60632213305513,-48.36089264421827
linhares,ES,6843,-19.390198251298994,-40.06079272188693
tubarao,SC,6795,-28.481786079995814,-49.00922402750679
miguel pereira,RJ,6752,-22.45536816027868,-43.47005922125052
mairinque,SP,6723,-23.537441378662976,-47.188647839801085
ibiuna,SP,6698,-23.658976723410404,-47.21632218621683
assis,SP,6697,-22.658229573343622,-50.418090032389586
piumhii,MG,6690,-20.469549898219025,-45.96099284289125
jaragua do sul,SC,6670,-26.48654663548548,-49.097242127391226
rio grande da serra,SP,6650,-23.746018332731424,-46.394547793253906
tatui,SP,6637,-23.351591617946315,-47.847241900983654
sertaozinho,SP,6610,-21.133294240289572,-47.99815672884972
criciuma,SC,6603,-28.68437062293272,-49.37331137842919
paranagua,PR,6538,-25.527351506588975,-48.52574467314298
cachoeiro de itapemirim,ES,6513,-20.847118044823855,-41.12161551490637
cornelio procopio,PR,6440,-23.181326284289746,-50.64933554119286
vacaria,RS,6432,-28.505921797741646,-50.93823752986985
lucas do rio verde,MT,6384,-13.069078701902058,-55.921749302938295
imbituba,SC,6368,-28.232438311255255,-48.68022343405556
sao gotardo,MG,6350,-19.316410003542128,-46.05208962204521
araguari,MG,6324,-18.649737292409228,-48.1934235708663
sinop,MT,6322,-11.857798676681096,-55.50800662302573
lorena,SP,6313,-22.738021717127232,-45.114672137890054
louveira,SP,6300,-23.085405581209343,-46.959424958120955
mafra,SC,6293,-26.125342996865914,-49.81157494911555
jandira,SP,6273,-23.542546824530586,-46.90476747490092
dois vizinhos,PR,6270,-25.748767627245034,-53.059914166014956
aparecida,SP,6225,-22.853025699859607,-45.25021091003281
matinhos,PR,6200,-25.811812841680258,-48.53616595716214
cachoeira paulista,SP,6162,-22.66614386362443,-45.01009931203418
arcos,MG,6160,-20.288002185246174,-45.541375668426845
